,,,,,,,,,,,,,,,,,
     - CO 오염도,,,,,,,,,,,,,,,,,
시.도,시군구,측정소명,"유효
자료
획득률
(%)","유효
측정
일수
(day)","유효
측정
횟수
(8hour)","유효
측정
시간
(hour)","월평균
(ppm)",1시간치,,,,,8시간치,,,,
,,,,,,,,"최저
(ppm)","최고
(ppm)",최고일시,"기준초과
(회)","초과율
(%)","최저
(ppm)","최고
(ppm)",최고일시,"기준초과
(회)","초과율
(%)"
,,,,,,,,,,,,,,,,,
"  * ""농도값*""의 값은 자료 획득률이 50% 이상이나 75% 미만인 도시의 월평균 값임.                              * ""농도값**""의 값은 자료 획득률이 50% 미만인 도시의 월평균 값임.",,,,,,,,,,,,,,,,,
  * 경남 가음정동 측정소 : 측정소 이전으로 인한 시험가동,,,,,,,,,,,,,,,,,
울산,중구,약사동,98.80,28,659,664,0.5,0.1,1.0,2019021020,,,0.4,0.7,201902101421,,
울산,동구,전하동,99.40,28,672,668,0.4,0.2,0.8,2019020622,,,0.4,0.7,201902131219,,
세종,세종,신흥동,99.40,28,672,668,0.8,0.3,1.5,2019022109,,,0.6,1.3,201902210310,,
세종,세종,아름동,99.55,28,672,669,0.6,0.3,1.2,2019022821,,,0.5,1.0,201902210411,,
세종,세종,한솔동,99.55,28,672,669,0.5,0.1,1.1,2019022822,,,0.3,0.9,201902112104,,
세종,세종,부강면,99.40,28,672,668,0.6,0.2,1.3,2019021309,,,0.5,0.9,201902030108,,
경기,수원,인계동,98.95,28,672,665,0.8,0.4,1.8,2019022323,,,0.6,1.5,201902210411,,
경기,수원,신풍동,98.95,28,672,665,0.7,0.3,1.8,2019022109,,,0.6,1.3,201902210209,,
경기,수원,광교동,99.10,28,672,666,0.7,0.1,1.5,2019022109,,,0.7,1.3,201902210209,,
경기,수원,영통동,99.10,28,672,666,0.8,0.4,1.7,2019022323,,,0.6,1.5,201902242104,,
경기,수원,천천동,99.40,28,672,668,0.6,0.2,1.5,2019022109,,,0.5,1.2,201902220209,,
경기,수원,고색동,99.25,28,672,667,0.7,0.3,1.8,2019022209,,,0.6,1.5,201902240108,,
경기,안양,안양6동,95.98,26,646,645,0.5,0.2,3.7,2019022210,,,0.4,1.8,201902220512,,
경기,안양,부림동,99.25,28,672,667,0.7,0.4,1.6,2019022209,,,0.6,1.3,201902210108,,
경기,안양,호계동,99.55,28,672,669,0.6,0.3,1.7,2019022322,,,0.5,1.2,201902242104,,
경기,안양,안양2동,98.36,28,663,661,0.7,0.2,1.3,2019021809,,,0.7,1.1,201902062205,,
경기,성남,단대동,99.40,28,672,668,0.7,0.3,1.5,2019022208,,,0.6,1.3,201902220310,,
경기,성남,정자동,99.55,28,672,669,0.7,0.3,1.6,2019022109,,,0.6,1.2,201902210108,,
경기,성남,수내동,99.25,28,672,667,0.7,0.3,1.4,2019022109,,,0.6,1.2,201902210108,,
경기,성남,복정동,96.87,26,644,651,0.7,0.2,1.7,2019022522,,,0.6,1.4,201902220108,,
경기,성남,상대원동,99.10,28,666,666,0.7,0.4,1.7,2019022210,,,0.6,1.3,201902220411,,
경기,성남,운중동,99.25,28,672,667,0.6,0.3,1.3,2019022211,,,0.6,1.0,201902212003,,
경기,의정부,의정부동,91.22,25,614,613,0.6,0.3,1.6,2019022110,,,0.5,1.1,201902210310,,
경기,의정부,의정부1동,99.10,28,666,666,0.7,0.3,1.9,2019022208,,,0.6,1.3,201902201522,,
경기,광명,철산동,96.27,26,647,647,0.7,0.2,1.8,2019022308,,,0.5,1.4,201902230108,,
경기,광명,소하동,97.91,28,657,658,0.7,0.3,1.6,2019022210,,,0.5,1.3,201902220411,,
경기,안산,고잔동,95.83,26,644,644,0.5,0.3,1.2,2019022401,,,0.4,1.0,201902230411,,
경기,안산,원시동,99.55,28,672,669,0.6,0.3,1.4,2019022208,,,0.5,1.1,201902220310,,
경기,안산,본오동,99.10,28,666,666,0.7,0.2,1.8,2019022109,,,0.6,1.3,201902210310,,
경기,안산,부곡동,73.06,20,491,491,0.7*,0.2,1.8,2019022109,,,0.6,1.3,201902210209,,
