  3.1.5 측정소별 대기오염도 (2019년 5월),,,,,,,,,,,,,,,,,
     - SO2 오염도,,,,,,,,,,,,,,,,,
시.도,시군구,측정소명,"측정소
코드","유효
자료
획득률
(%)","유효
측정
일수
(day)","유효
측정
시간
(hour)","월평균
(ppm)",1시간치,,,,,24시간치,,,,
,,,,,,,,"최저
(ppm)","최고
(ppm)",최고일시,"기준초과
(회)","초과율
(%)","최저
(ppm)","최고
(ppm)",최고일,"기준초과
(회)","초과율
(%)"
,,,,,,,,,,,,,,,,,
울산,남구,부곡동,238122,99.19,31,738,0.009,0.002,0.094,2019050822,,,0.004,0.016,20190504,,
울산,남구,여천동,238123,93.01,28,692,0.015,0.003,0.095,2019050921,,,0.009,0.023,20190516,,
울산,남구,야음동,238124,99.32,31,739,0.006,0.002,0.056,2019052322,,,0.002,0.013,20190504,,
울산,남구,신정동,238127,99.05,31,737,0.005,0.002,0.040,2019051612,,,0.002,0.012,20190510,,
울산,울주군,덕신리,238128,99.59,31,741,0.006,0.002,0.115,2019050411,,,0.003,0.022,20190504,,
울산,울주군,삼남면,238375,99.32,31,739,0.004,0.002,0.016,2019050415,,,0.002,0.007,20190504,,
울산,북구,효문동,238130,98.52,30,733,0.007,0.002,0.046,2019051611,,,0.002,0.014,20190516,,
울산,울주군,화산리,238371,99.46,31,740,0.011,0.002,0.143,2019052912,,,0.004,0.028,20190511,,
울산,울주군,상남리,238373,99.46,31,740,0.005,0.001,0.044,2019051120,,,0.002,0.012,20190511,,
울산,동구,대송동,238120,99.46,31,740,0.008,0.001,0.055,2019051704,,,0.003,0.015,20190505,,
울산,남구,무거동,238129,99.32,31,739,0.005,0.002,0.029,2019051613,,,0.003,0.011,20190510,,
울산,남구,삼산동,238125,99.59,31,741,0.009,0.003,0.047,2019051522,,,0.005,0.019,20190511,,
울산,북구,농소동,238374,99.73,31,742,0.004,0.002,0.018,2019052007,,,0.003,0.007,20190516,,
울산,중구,약사동,238376,99.32,31,739,0.005,0.001,0.022,2019052918,,,0.002,0.012,20190516,,
울산,동구,전하동,238381,99.32,31,739,0.010,0.002,0.074,2019051703,,,0.003,0.019,20190511,,
세종,세종,신흥동,541111,99.59,31,741,0.004,0.001,0.025,2019050420,,,0.001,0.008,20190504,,
세종,세종,아름동,541112,99.73,31,742,0.004,0.002,0.020,2019051020,,,0.002,0.008,20190511,,
세종,세종,한솔동,541113,99.46,31,740,0.004,0.002,0.021,2019051020,,,0.002,0.007,20190510,,
세종,세종,부강면,541114,99.59,31,741,0.003,0.002,0.013,2019051422,,,0.002,0.006,20190504,,
