     - PM2.5 오염도,,,,,,,,,,,,,,,,,
시.도,시군구,측정소명,측정소코드,"유효
자료
획득률
(%)","유효
측정
일수
(day)","유효
측정
시간
(hour)","월평균
(㎍/㎥)","황사제외 
월평균
(㎍/㎥)",24시간치,,,,,,,,
,,,,,,,,,"최저
(㎍/㎥)","최고
(㎍/㎥)",최고일,기준초과(회),초과율(%),,,,
,,,,,,,,,,,,,,,,,
세종,세종,부강면,541114,99.44,30,716,28,28,9,49,20191103,6,20.00,,,,
경기,수원,인계동,131112,99.30,30,715,23,23,7,46,20191102,4,13.33,,,,
경기,수원,신풍동,131111,99.72,30,718,23,23,7,49,20191102,4,13.33,,,,
경기,수원,광교동*,131113,99.72,30,718,18,17,4,41,20191101,2,6.66,,,,
경기,수원,영통동*,131114,97.63,29,703,22,22,10,43,20191102,3,10.00,,,,
경기,수원,천천동,131115,95.00,28,684,20,20,5,39,20191102,2,6.66,,,,
경기,수원,고색동,131117,98.05,30,706,21,22,6,44,20191102,2,6.66,,,,
경기,수원,호매실동*,131118,98.88,30,712,21,21,9,39,20191102,2,6.66,,,,
경기,안양,안양6동,131141,98.75,30,711,21,21,6,40,20191102,2,6.66,,,,
경기,안양,부림동,131142,99.44,30,716,23,22,7,46,20191101,3,10.00,,,,
경기,안양,호계동,131144,98.61,30,710,20,20,4,35,20191130,,,,,,
경기,안양,안양2동,131145,97.36,29,701,22,22,10,35,20191102,,,,,,
경기,성남,단대동,131121,98.33,30,708,19,19,4,37,20191102,2,6.66,,,,
경기,성남,정자동,131123,85.13,25,613,22,22,6,45,20191103,3,10.00,,,,
경기,성남,수내동,131124,96.11,29,692,19,19,6,36,20191102,1,3.33,,,,
경기,성남,복정동,131126,95.27,28,686,22,22,8,38,20191102,2,6.66,,,,
경기,성남,상대원동,131129,86.66,25,624,19,19,5,36,20191106,1,3.33,,,,
경기,성남,운중동*,131128,94.86,28,683,18,17,6,35,20191102,,,,,,
경기,의정부,의정부동,131131,83.61,23,602,22,22,8,40,20191102,2,6.66,,,,
경기,의정부,의정부1동*,131132,99.72,30,718,21,21,4,41,20191102,2,6.66,,,,
경기,광명,철산동,131161,60.00,17,432,26*,26*,9,45,20191102,3,10.00,,,,
경기,광명,소하동,131163,96.94,29,698,22,22,7,43,20191102,2,6.66,,,,
경기,안산,고잔동,131191,74.72,23,538,25*,25*,12,52,20191103,2,6.66,,,,
경기,안산,원시동*,131192,90.55,26,652,22,22,6,51,20191102,3,10.00,,,,
경기,안산,본오동,131193,98.75,30,711,24,24,9,51,20191103,3,10.00,,,,
경기,안산,원곡동*,131194,70.97,19,511,15*,15*,5,21,20191102,,,,,,
경기,안산,부곡동*,131195,95.69,28,689,20,20,5,38,20191102,3,10.00,,,,
경기,안산,대부동*,131196,97.77,30,704,18,18,4,35,20191130,,,,,,
경기,안산,호수동,131197,98.75,30,711,18,18,5,40,20191103,2,6.66,,,,
경기,평택,비전동,131341,80.97,24,583,22,22,6,33,20191109,,,,,,
경기,평택,안중,131342,98.33,29,708,26,26,8,58,20191103,3,10.00,,,,
경기,평택,평택항,131343,99.44,30,716,24,24,7,50,20191103,3,10.00,,,,
경기,평택,송북동,131344,94.72,28,682,22,22,6,50,20191103,3,10.00,,,,
경기,과천,별양동,131201,99.02,30,713,18,18,5,38,20191102,2,6.66,,,,
경기,과천,과천동,131202,99.72,30,718,18,18,3,38,20191102,2,6.66,,,,
경기,구리,교문동,131211,99.72,30,718,20,19,5,40,20191102,1,3.33,,,,
경기,구리,동구동,131212,99.44,30,716,24,24,9,42,20191102,2,6.66,,,,
경기,의왕,부곡3동,131222,96.38,28,694,27,27,8,48,20191102,5,16.66,,,,
경기,의왕,고천동,131223,96.38,28,694,21,21,7,39,20191102,2,6.66,,,,
경기,고양,행신동,131381,99.72,30,718,18,18,4,37,20191102,1,3.33,,,,
경기,고양,식사동,131382,99.30,30,715,19,19,3,43,20191102,2,6.66,,,,
경기,고양,신원동,131384,99.44,30,716,23,23,8,38,20191102,2,6.66,,,,
경기,고양,주엽동,131385,99.44,30,716,23,23,3,46,20191102,3,10.00,,,,
경기,광주,경안동,131392,99.02,30,713,22,22,7,41,20191102,1,3.33,,,,
경기,군포,당동,131501,99.44,30,716,23,23,8,45,20191102,3,10.00,,,,
경기,군포,산본동,131502,99.02,30,713,19,19,7,36,20191102,1,3.33,,,,
경기,시흥,정왕동,131231,99.58,30,717,25,25,9,53,20191103,4,13.33,,,,
경기,시흥,시화산단,131232,99.30,30,715,24,24,7,47,20191103,3,10.00,,,,
경기,시흥,대야동,131233,99.16,30,714,28,28,9,58,20191102,5,16.66,,,,
경기,부천,소사본동,831151,99.30,30,715,26,26,7,51,20191102,5,16.66,,,,
경기,부천,내동,831152,94.30,26,679,38,38,17,61,20191102,15,50.00,,,,
경기,부천,중2동,831153,99.58,30,717,23,23,4,46,20191102,5,16.66,,,,
경기,부천,오정동,831154,99.16,30,714,24,25,5,50,20191102,6,20.00,,,,
경기,남양주,금곡동,131241,98.75,30,711,19,19,5,36,20191106,1,3.33,,,,
경기,남양주,오남읍,131242,96.52,30,695,23,23,7,42,20191102,3,10.00,,,,
경기,남양주,별내동,131243,95.83,28,690,22,22,7,42,20191102,3,10.00,,,,
경기,남양주,화도읍,131244,99.44,30,716,23,22,5,48,20191101,3,10.00,,,,
경기,용인,김량장동,131411,99.44,30,716,24,24,8,39,20191102,3,10.00,,,,
경기,용인,수지,131412,99.72,30,718,18,18,5,38,20191103,1,3.33,,,,
경기,용인,기흥,131413,95.83,28,690,20,20,5,41,20191102,2,6.66,,,,
경기,용인,모현읍,131415,99.86,30,719,24,24,7,40,20191102,4,13.33,,,,
경기,용인,이동읍,131416,99.58,30,717,26,26,10,47,20191102,5,16.66,,,,
