,,,,,,,,,,,,,,,,,,
     - CO 오염도,,,,,,,,,,,,,,,,,,
시.도,시군구,측정소명,"측정소
코드","유효
자료
획득률
(%)","유효
측정
일수
(day)","유효
측정
횟수
(8hour)","유효
측정
시간
(hour)","월평균
(ppm)",1시간치,,,,,8시간치,,,,
,,,,,,,,,"최저
(ppm)","최고
(ppm)",최고일시,"기준초과
(회)","초과율
(%)","최저
(ppm)","최고
(ppm)",최고일시,"기준초과
(회)","초과율
(%)"
,,,,,,,,,,,,,,,,,,
대전,유성구,구성동,525141,96.50,29,715,718,0.3,0.1,1.0,2019081823,,,0.1,0.9,201908190108,,
대전,유성구,노은동,525142,96.63,29,716,719,0.3,0.2,0.6,2019080422,,,0.2,0.6,201908230108,,
대전,대덕구,문평동,525112,96.63,29,716,719,0.3,0.1,0.7,2019080301,,,0.2,0.6,201908030108,,
대전,동구,성남동,525161,96.63,29,716,719,0.3,0.1,0.7,2019080421,,,0.2,0.5,201908041623,,
대전,서구,정림동,525171,99.73,31,744,742,0.3,0.2,0.6,2019080420,,,0.2,0.6,201908231623,,
대전,서구,둔산동,525172,96.63,29,716,719,0.4,0.2,0.7,2019080509,,,0.3,0.6,201908030108,,
대전,동구,대성동,525162,99.73,31,744,742,0.3,0.2,0.6,2019080422,,,0.2,0.6,201908241801,,
대전,대덕구,상대동,525143,99.59,31,744,741,0.3,0.2,0.6,2019080422,,,0.2,0.5,201908051801,,
울산,중구,성남동,238121,99.59,31,744,741,0.4,0.2,0.8,2019082120,,,0.3,0.8,201908282205,,
울산,남구,부곡동,238122,98.92,31,731,736,0.7,0.3,3.2,2019082322,,,0.5,1.5,201908231623,,
울산,남구,여천동,238123,99.32,31,744,739,0.5,0.2,2.3,2019083024,,,0.3,1.3,201908240209,,
울산,남구,야음동,238124,98.79,31,726,735,0.4,0.1,1.1,2019080919,,,0.2,0.8,201908221801,,
울산,남구,신정동,238127,99.32,31,738,739,0.7,0.5,1.3,2019080911,,,0.6,1.1,201908091017,,
울산,울주군,덕신리,238128,98.79,31,726,735,0.5,0.3,1.4,2019080315,,,0.4,1.0,201908040916,,
울산,울주군,삼남면,238375,99.46,31,744,740,0.6,0.4,1.1,2019082723,,,0.5,1.0,201908282003,,
울산,북구,효문동,238130,99.46,31,744,740,0.4,0.2,0.8,2019081721,,,0.3,0.7,201908171522,,
울산,울주군,화산리,238371,99.32,31,738,739,0.7,0.5,2.6,2019080919,,,0.6,1.8,201908091320,,
울산,울주군,상남리,238373,99.05,31,738,737,0.4,0.1,1.2,2019080622,,,0.2,0.7,201908111623,,
울산,동구,대송동,238120,98.25,31,729,731,0.5,0.3,0.9,2019081801,,,0.4,0.9,201908180108,,
울산,남구,무거동,238129,99.59,31,744,741,0.5,0.3,0.9,2019080920,,,0.4,0.9,201908291801,,
울산,남구,삼산동,238125,98.92,31,738,736,0.6,0.4,1.2,2019082205,,,0.5,0.9,201908221801,,
