     - CO 오염도,,,,,,,,,,,,,,,,,
시.도,시군구,측정소명,"유효
자료
획득률
(%)","유효
측정
일수
(day)","유효
측정
횟수
(8hour)","유효
측정
시간
(hour)","월평균
(ppm)",1시간치,,,,,8시간치,,,,
,,,,,,,,"최저
(ppm)","최고
(ppm)",최고일시,"기준초과
(회)","초과율
(%)","최저
(ppm)","최고
(ppm)",최고일시,"기준초과
(회)","초과율
(%)"
,,,,,,,,,,,,,,,,,
울산,남구,야음동,99 ,31 ,731 ,737 ,1 ,0 ,1 ,2019011820 ,,,1 ,1 ,201901181623 ,,
울산,남구,신정동,99 ,31 ,735 ,736 ,1 ,0 ,2 ,2019012309 ,,,1 ,1 ,201901230310 ,,
울산,울주군,덕신리,99 ,31 ,738 ,739 ,1 ,0 ,2 ,2019012308 ,,,1 ,1 ,201901150512 ,,
울산,울주군,삼남면,99 ,31 ,737 ,738 ,1 ,0 ,1 ,2019011409 ,,,0 ,1 ,201901140411 ,,
울산,북구,효문동,99 ,31 ,738 ,740 ,1 ,0 ,1 ,2019012308 ,,,0 ,1 ,201901150411 ,,
울산,울주군,화산리,99 ,31 ,738 ,735 ,1 ,0 ,2 ,2019011912 ,,,1 ,1 ,201901150815 ,,
울산,울주군,상남리,99 ,31 ,738 ,739 ,1 ,0 ,1 ,2019010407 ,,,0 ,1 ,201901150310 ,,
울산,동구,대송동,99 ,31 ,738 ,740 ,1 ,0 ,2 ,2019012308 ,,,1 ,1 ,201901150411 ,,
  '' 농도값''의 값은 자료 획득률이 50% 이상이나 75% 미만인 도시의 월평균 값임.                              '' 농도값''''의 값은 자료 획득률이 50% 미만인 도시의 월평균 값임.,,,,,,,,,,,,,,,,,
  '' 전남 중동 측정소는 장비교체,,,,,,,,,  '' 경북 남문동 측정소는 측정소 이전으로 인한 시험가동,,,,,,,,
  '' 경남 가음정동 측정소는 측정소 이전으로 인한 시험가동,,,,,,,,,  '' 강원 양구 측정소는 베이스라인 이상으로 자료 삭제,,,,,,,,
울산,남구,무거동,89 ,27 ,650 ,664 ,1 ,0 ,1 ,2019011508 ,,,0 ,1 ,201901150411 ,,
울산,남구,삼산동,99 ,31 ,732 ,738 ,1 ,0 ,1 ,2019011820 ,,,1 ,1 ,201901140310 ,,
울산,북구,농소동,99 ,31 ,738 ,740 ,1 ,0 ,1 ,2019010506 ,,,1 ,1 ,201901050209 ,,
울산,중구,약사동,98 ,31 ,720 ,729 ,1 ,0 ,1 ,2019010410 ,,,1 ,1 ,201901050411 ,,
